person	document_count	total_words	first_date	last_date	organization_diversity	family_diversity	process_diversity	collection_diversity	document_type_diversity	institutional_breadth_score	centrality_score	top_families	top_organizations	top_processes	top_collections	top_document_types	interpretation_note
Н.М. Насонова	2	1272	1935-01-20T00:00:00	1935-01-22T00:00:00	4	3	1	1	1	17	67	security_apparatus:2 | international:2 | party_apparatus:1	ГУГБ:2 | Коминтерн:2 | НКВД:2 | ВКП(б):1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Ф.И. Вайсберга	2	2331	1936-09-14T16:41:22	1936-10-09T11:39:33	4	3	1	1	1	17	67	security_apparatus:1 | state_apparatus:1 | party_apparatus:1	ГУГБ:1 | Совнарком:1 | ЦК ВКП(б):1 | ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.В. Румянцева	2	370	1934-12-24T02:19:56	1935-01-04T10:41:17	5	2	1	1	2	16	66	party_apparatus:2 | security_apparatus:1	ВКП(б):2 | Политбюро:1 | ЦК ВКП(б):1 | ГУГБ:1 | НКВД:1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2	ДРУГИЕ ДОКУМЕНТЫ:2	memo_note:1 | testimony:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
В.М. Рохинсона	2	2325	1935-04-17T01:00:00	1935-04-29T00:10:00	5	2	1	1	2	16	66	security_apparatus:2 | party_apparatus:2	ГУГБ:2 | ВКП(б):2 | НКВД:2 | ЦК ВКП(б):1 | Политбюро:1	КРЕМЛЕВСКОЕ ДЕЛО:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:1 | special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.В. Когану	2	1249	1938-03-01T07:59:05	1938-03-04T09:59:22	3	3	1	1	2	17	66	state_apparatus:1 | security_apparatus:1 | press_media:1	ЦИК СССР:1 | Правда:1 | НКВД:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	БУХАРИН:2	memo_note:1 | statement:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.И. Пономарева	2	3392	1936-03-21T02:00:00	1936-04-14T08:23:00	5	2	1	1	2	16	66	security_apparatus:2 | party_apparatus:2	ГУГБ:2 | ВКП(б):2 | ЦК ВКП(б):2 | НКВД:1 | Политбюро:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:1 | interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Ф.Г. Иванова	2	2276	1935-03-29T01:09:00	1935-04-10T00:05:00	5	2	1	1	2	16	66	security_apparatus:2 | party_apparatus:2	ГУГБ:2 | НКВД:2 | ВКП(б):2 | ЦК ВКП(б):1 | Политбюро:1	КРЕМЛЕВСКОЕ ДЕЛО:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:1 | interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.А. Гардин-Гейер	1	1619	1935-04-17T00:00:00	1935-04-17T00:00:00	4	3	1	1	1	17	66	party_apparatus:1 | security_apparatus:1 | international:1	ГУГБ:1 | ВКП(б):1 | Коминтерн:1 | ЦК ВКП(б):1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.В. Дзедзиевского	1	3319	1936-11-15T15:52:23	1936-11-15T15:52:23	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | Правда:1 | ЦК ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.Д. Бронштейне	1	436	1936-08-23T23:54:31	1936-08-23T23:54:31	4	3	1	1	1	17	66	press_media:1 | party_apparatus:1 | judicial_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | Прокуратура СССР:1 | Правда:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.И. Муралова	1	393	1937-01-26T09:13:34	1937-01-26T09:13:34	4	3	1	1	1	17	66	press_media:1 | party_apparatus:1 | state_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | Совнарком:1 | Правда:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.О. Голлендера	1	1886	1937-01-16T12:34:58	1937-01-16T12:34:58	4	3	1	1	1	17	66	party_apparatus:1 | security_apparatus:1 | international:1	ГУГБ:1 | ВКП(б):1 | Коминтерн:1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Б.З. Ливянта	1	878	1935-01-10T09:42:06	1935-01-10T09:42:06	4	3	1	1	1	17	66	party_apparatus:1 | security_apparatus:1 | international:1	ГУГБ:1 | ВКП(б):1 | Коминтерн:1 | ЦК ВКП(б):1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Б.М. Беккера	1	1160	1936-09-03T19:35:43	1936-09-03T19:35:43	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | Правда:1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Б.С. Рабиновича	1	3657	1937-02-12T16:03:52	1937-02-12T16:03:52	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | Правда:1 | НКВД:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
В.Ф. Захариной	1	1154	1936-11-19T16:37:10	1936-11-19T16:37:10	4	3	1	1	1	17	66	security_apparatus:1 | party_apparatus:1 | state_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦИК СССР:1 | ЦК ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.И. Исаева	1	455	1934-12-31T07:00:00	1934-12-31T07:00:00	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | Правда:1 | ЦК ВКП(б):1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.С. Биткера	1	3307	1936-12-30T01:29:00	1936-12-30T01:29:00	4	3	1	1	1	17	66	party_apparatus:1 | security_apparatus:1 | international:1	ГУГБ:1 | ВКП(б):1 | Коминтерн:1 | ЦК ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Е.А. Преображенского	1	1373	1929-07-10T11:11:00	1929-07-10T11:11:00	4	3	1	1	1	17	66	party_apparatus:1 | press_media:1 | international:1	ЦК ВКП(б):1 | ВКП(б):1 | Коминтерн:1 | Правда:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	statement:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Е.И. Медкова	1	1004	1935-04-14T02:05:00	1935-04-14T02:05:00	4	3	1	1	1	17	66	party_apparatus:1 | security_apparatus:1 | international:1	ГУГБ:1 | ВКП(б):1 | ИККИ:1 | НКВД:1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.А. Данилова	1	2298	1936-10-11T00:36:00	1936-10-11T00:36:00	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | Правда:1 | ЦК ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.А. Масленникова	1	3049	1936-04-26T00:24:00	1936-04-26T00:24:00	6	2	1	1	1	16	66	security_apparatus:1 | party_apparatus:1	ГУГБ:1 | НКВД:1 | ВКП(б):1 | ЦК ВКП(б):1 | Политбюро:1 | ИНО ГУГБ:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.В. Больших	1	829	1935-03-17T04:00:00	1935-03-17T04:00:00	4	3	1	1	1	17	66	security_apparatus:1 | party_apparatus:1 | state_apparatus:1	ГУГБ:1 | ВКП(б):1 | ЦИК СССР:1 | НКВД:1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.И. Носкова	1	2587	1936-10-27T00:29:00	1936-10-27T00:29:00	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | Правда:1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.Н. Миронова	1	3862	1937-01-31T21:00:21	1937-01-31T21:00:21	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | Правда:1 | ЦК ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
К.В. Генераловой	1	654	1936-09-02T18:07:44	1936-09-02T18:07:44	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | Правда:1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	administrative_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.А. Житкова	1	5379	1936-10-17T18:19:57	1936-10-17T18:19:57	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | Правда:1 | НКВД:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.Д. Кочетовой	1	1589	1935-03-20T03:00:00	1935-03-20T03:00:00	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | ИНО ГУГБ:1 | Правда:1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.Н. Соина	1	1661	1935-11-01T08:46:04	1935-11-01T08:46:04	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | Правда:1 | НКВД:1	РАЗНЫЕ ДОКУМЕНТЫ:1	РАЗНЫЕ ДОКУМЕНТЫ:1	letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.П. Гаврилова	1	2554	1936-12-25T13:39:36	1936-12-25T13:39:36	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | Правда:1 | ЦК ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Р.П. Катаняна	1	654	1936-09-02T18:07:44	1936-09-02T18:07:44	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | Правда:1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	administrative_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.В. Мрачковском	1	1160	1936-09-03T19:35:43	1936-09-03T19:35:43	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | Правда:1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.Н. Цыбульника	1	1159	1935-03-22T13:53:45	1935-03-22T13:53:45	4	3	1	1	1	17	66	security_apparatus:1 | party_apparatus:1 | state_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | ЦИК СССР:1 | НКВД:1	КРЕМЛЕВСКОЕ ДЕЛО:1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:1	memo_note:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
С.Ф. Васильченко	1	900	1936-04-10T02:00:00	1936-04-10T02:00:00	4	3	1	1	1	17	66	party_apparatus:1 | security_apparatus:1 | international:1	ГУГБ:1 | ВКП(б):1 | Коминтерн:1 | ЦК ВКП(б):1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Э.Г. Лейкина	1	930	1935-01-11T04:00:00	1935-01-11T04:00:00	4	3	1	1	1	17	66	party_apparatus:1 | press_media:1 | international:1	ЦК ВКП(б):1 | ВКП(б):1 | Коминтерн:1 | Известия:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Э.З. Гольденберга	1	2820	1933-03-23T07:45:10	1933-03-23T07:45:10	4	3	1	1	1	17	66	party_apparatus:1 | press_media:1 | international:1	ЦК ВКП(б):1 | ВКП(б):1 | ИККИ:1 | Правда:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	ПРЕДЫСТОРИЯ:1	statement:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Э.Н. Адунской	1	2020	1936-09-14T18:39:00	1936-09-14T18:39:00	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ЦК ВКП(б):1 | ВКП(б):1 | Правда:1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:1	letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Я.К. Яглома	1	4074	1937-02-20T21:17:03	1937-02-20T21:17:03	4	3	1	1	1	17	66	party_apparatus:1 | security_apparatus:1 | international:1	ГУГБ:1 | ВКП(б):1 | Коминтерн:1 | ЦК ВКП(б):1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Я.П. Гальперина	1	1424	1936-06-11T00:14:00	1936-06-11T00:14:00	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | Правда:1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Я.Ю. Харита	1	4142	1937-02-08T21:51:19	1937-02-08T21:51:19	4	3	1	1	1	17	66	press_media:1 | security_apparatus:1 | party_apparatus:1	ГУГБ:1 | ВКП(б):1 | Правда:1 | ЦК ВКП(б):1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:1	special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
З.И. Давыдовой	6	5544	1935-03-07T01:33:00	1935-04-21T02:00:00	4	2	1	1	2	15	65	security_apparatus:5 | party_apparatus:1	ГУГБ:5 | Политбюро:1 | ВКП(б):1 | ЦК ВКП(б):1	КРЕМЛЕВСКОЕ ДЕЛО:6	МАТЕРИАЛЫ СЛЕДСТВИЯ:6	interrogation_protocol:3 | confrontation_protocol:3	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.Я. Файвиловича	6	2384	1934-12-14T03:00:00	1935-01-12T08:00:00	4	2	1	1	2	15	65	party_apparatus:5 | security_apparatus:2	ВКП(б):4 | ГУГБ:2 | ЦК ВКП(б):2 | Политбюро:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:6	МАТЕРИАЛЫ СЛЕДСТВИЯ:6	interrogation_protocol:5 | statement:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.В. Перимова	5	2873	1934-12-25T03:00:00	1935-01-14T08:00:00	3	3	1	1	1	16	65	security_apparatus:1 | party_apparatus:1 | international:1	ГУГБ:1 | ВКП(б):1 | Коминтерн:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	МАТЕРИАЛЫ СЛЕДСТВИЯ:5	interrogation_protocol:5	centrality_metrics_from_document_cooccurrence_not_biographical_claim
К.С. Дорофеева	2	5010	1936-09-10T03:36:00	1937-01-30T21:06:33	4	2	2	1	1	16	65	security_apparatus:2 | party_apparatus:2	ГУГБ:2 | ВКП(б):2 | ЦК ВКП(б):2 | НКВД:2	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Шемелев	5	9843	1936-02-23T00:42:00	1936-04-20T03:00:00	4	2	1	1	2	15	64	security_apparatus:5 | party_apparatus:5	ГУГБ:5 | ВКП(б):5 | ЦК ВКП(б):3 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5	МАТЕРИАЛЫ СЛЕДСТВИЯ:5	interrogation_protocol:3 | special_report:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Я.В. Шарова	5	1937	1935-01-04T16:00:00	1935-01-10T10:00:00	4	2	1	1	2	15	64	security_apparatus:5 | party_apparatus:4	ГУГБ:5 | НКВД:5 | ВКП(б):4 | ЦК ВКП(б):1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	МАТЕРИАЛЫ СЛЕДСТВИЯ:5	interrogation_protocol:3 | confrontation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
З.М. Беленького	4	3446	1935-02-12T15:38:23	1935-04-10T13:44:23	5	2	1	1	1	15	64	state_apparatus:4 | party_apparatus:3	ЦИК СССР:4 | ВКП(б):3 | Политбюро:2 | ЦК ВКП(б):2 | Секретариат ЦИК СССР:1	КРЕМЛЕВСКОЕ ДЕЛО:4	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:4	memo_note:4	centrality_metrics_from_document_cooccurrence_not_biographical_claim
А.И. Стецкого	2	1455	1937-01-17T21:09:38	1937-02-02T19:09:07	3	2	2	1	2	16	64	party_apparatus:1 | press_media:1	Политбюро:1 | Известия:1 | Правда:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	ДРУГИЕ ДОКУМЕНТЫ:2	correspondence:1 | memo_note:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.И. Котолынова	13	3519	1934-12-06T06:01:00	1934-12-26T00:00:00	3	2	1	1	1	13	63	security_apparatus:11 | party_apparatus:5	ГУГБ:10 | ВКП(б):5 | НКВД:4	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:13	МАТЕРИАЛЫ СЛЕДСТВИЯ:13	interrogation_protocol:13	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.Л. Хасина	4	4921	1936-03-08T00:21:00	1936-04-10T03:00:00	4	2	1	1	2	15	63	security_apparatus:4 | party_apparatus:4	ГУГБ:4 | ВКП(б):4 | ЦК ВКП(б):1 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	МАТЕРИАЛЫ СЛЕДСТВИЯ:4	interrogation_protocol:3 | special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Л.И. Сосицкого	4	2256	1934-12-21T03:00:00	1934-12-26T01:00:00	4	2	1	1	2	15	63	party_apparatus:4 | security_apparatus:3	ВКП(б):4 | ГУГБ:3 | НКВД:2 | ЦК ВКП(б):1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:4	МАТЕРИАЛЫ СЛЕДСТВИЯ:4	interrogation_protocol:3 | statement:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Б.М. Оберталлера	3	10231	1936-09-26T01:36:00	1937-01-15T20:49:30	5	2	1	1	1	15	63	party_apparatus:3 | security_apparatus:2	ЦК ВКП(б):3 | ВКП(б):3 | НКВД:2 | ГУГБ:1 | Политбюро:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	special_report:3	centrality_metrics_from_document_cooccurrence_not_biographical_claim
И.И. Котолыновым	3	788	1934-12-17T08:00:00	1934-12-25T04:00:00	5	2	1	1	1	15	63	security_apparatus:3 | party_apparatus:1	ГУГБ:3 | НКВД:2 | Политбюро:1 | ВКП(б):1 | ЦК ВКП(б):1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	confrontation_protocol:3	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.С. Антоновым	3	858	1934-12-17T08:00:00	1934-12-25T03:00:00	5	2	1	1	1	15	63	security_apparatus:3 | party_apparatus:3	ГУГБ:3 | ВКП(б):3 | НКВД:2 | ЦК ВКП(б):2 | Политбюро:2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	confrontation_protocol:3	centrality_metrics_from_document_cooccurrence_not_biographical_claim
П.Э. Роцкана	3	1986	1935-01-11T05:00:00	1935-01-18T01:00:00	5	2	1	1	1	15	63	security_apparatus:3 | party_apparatus:3	ГУГБ:3 | ВКП(б):3 | НКВД:3 | ЦК ВКП(б):1 | Политбюро:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	interrogation_protocol:3	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.В. Бурштейном	3	7280	1937-02-02T21:22:13	1937-02-05T21:05:23	4	2	1	1	2	15	62	security_apparatus:3 | party_apparatus:1	ГУГБ:3 | НКВД:3 | ВКП(б):1 | ЦК ВКП(б):1	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	confrontation_protocol:2 | special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
М.Л. Быховского	3	7673	1936-04-27T02:30:00	1936-05-20T02:10:00	4	2	1	1	2	15	62	security_apparatus:3 | party_apparatus:3	ГУГБ:3 | ВКП(б):3 | ЦК ВКП(б):2 | НКВД:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	interrogation_protocol:2 | special_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Н.И. Москалева	3	2298	1936-09-13T00:36:00	1936-09-14T02:36:00	4	2	1	1	2	15	62	security_apparatus:3 | party_apparatus:2	ГУГБ:2 | ЦК ВКП(б):2 | ВКП(б):2 | НКВД:2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	special_report:2 | memo_note:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
П.А. Залуцкого	3	1480	1935-01-17T03:00:00	1935-01-22T02:00:00	4	2	1	1	2	15	62	security_apparatus:2 | party_apparatus:2	ГУГБ:2 | ВКП(б):2 | НКВД:2 | ЦК ВКП(б):1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:3	interrogation_protocol:2 | statement:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
В.И. Звездовым	2	613	1934-12-17T09:00:00	1934-12-18T07:00:00	5	2	1	1	1	15	62	security_apparatus:2 | party_apparatus:1	ГУГБ:2 | НКВД:1 | ВКП(б):1 | ЦК ВКП(б):1 | Политбюро:1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	confrontation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.А. Колоскова	2	4513	1936-09-14T03:36:00	1936-09-29T00:36:00	5	2	1	1	1	15	62	party_apparatus:2 | security_apparatus:1	ВКП(б):2 | ЦК ВКП(б):2 | ГУГБ:1 | КПК:1 | КПК при ЦК ВКП(б):1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	special_report:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Д.А. Карцева	2	4258	1936-12-23T13:34:34	1936-12-27T13:37:15	3	3	1	1	1	16	62	security_apparatus:2 | party_apparatus:2 | press_media:1	ГУГБ:2 | ВКП(б):2 | Правда:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Е.О. Симак	2	1256	1935-02-15T05:39:00	1935-03-20T08:00:00	3	3	1	1	1	16	62	security_apparatus:2 | party_apparatus:1 | state_apparatus:1	ГУГБ:2 | ВКП(б):1 | Совнарком:1	КРЕМЛЕВСКОЕ ДЕЛО:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:2	interrogation_protocol:2	centrality_metrics_from_document_cooccurrence_not_biographical_claim
